data_apr21_mar22_V2$member_casual,data_apr21_mar22_V2$time_of_day,data_apr21_mar22_V2$ride_id
casual,00:00:00,18
member,00:00:00,8
casual,00:00:01,9
member,00:00:01,18
casual,00:00:02,20
member,00:00:02,13
casual,00:00:03,16
member,00:00:03,14
casual,00:00:04,24
member,00:00:04,10
casual,00:00:05,18
member,00:00:05,3
casual,00:00:06,13
member,00:00:06,14
casual,00:00:07,25
member,00:00:07,11
casual,00:00:08,17
member,00:00:08,8
casual,00:00:09,18
member,00:00:09,14
casual,00:00:10,19
member,00:00:10,11
casual,00:00:11,15
member,00:00:11,16
casual,00:00:12,17
member,00:00:12,7
casual,00:00:13,10
member,00:00:13,12
casual,00:00:14,11
member,00:00:14,14
casual,00:00:15,14
member,00:00:15,11
casual,00:00:16,18
member,00:00:16,10
casual,00:00:17,12
member,00:00:17,7
casual,00:00:18,16
member,00:00:18,14
casual,00:00:19,16
member,00:00:19,9
casual,00:00:20,13
member,00:00:20,13
casual,00:00:21,15
member,00:00:21,6
casual,00:00:22,10
member,00:00:22,11
casual,00:00:23,15
member,00:00:23,11
casual,00:00:24,25
member,00:00:24,11
casual,00:00:25,17
member,00:00:25,16
casual,00:00:26,17
member,00:00:26,10
casual,00:00:27,16
member,00:00:27,10
casual,00:00:28,16
member,00:00:28,19
casual,00:00:29,11
member,00:00:29,9
casual,00:00:30,19
member,00:00:30,16
casual,00:00:31,20
member,00:00:31,12
casual,00:00:32,14
member,00:00:32,11
casual,00:00:33,16
member,00:00:33,12
casual,00:00:34,17
member,00:00:34,9
casual,00:00:35,18
member,00:00:35,11
casual,00:00:36,14
member,00:00:36,14
casual,00:00:37,11
member,00:00:37,13
casual,00:00:38,24
member,00:00:38,14
casual,00:00:39,20
member,00:00:39,19
casual,00:00:40,30
member,00:00:40,7
casual,00:00:41,23
member,00:00:41,15
casual,00:00:42,17
member,00:00:42,14
casual,00:00:43,15
member,00:00:43,12
casual,00:00:44,19
member,00:00:44,12
casual,00:00:45,20
member,00:00:45,10
casual,00:00:46,22
member,00:00:46,12
casual,00:00:47,19
member,00:00:47,11
casual,00:00:48,28
member,00:00:48,12
casual,00:00:49,17
member,00:00:49,13
casual,00:00:50,15
member,00:00:50,13
casual,00:00:51,15
member,00:00:51,18
casual,00:00:52,15
member,00:00:52,23
casual,00:00:53,22
member,00:00:53,8
casual,00:00:54,15
member,00:00:54,11
casual,00:00:55,10
member,00:00:55,15
casual,00:00:56,16
member,00:00:56,10
casual,00:00:57,18
member,00:00:57,4
casual,00:00:58,14
member,00:00:58,7
casual,00:00:59,15
member,00:00:59,13
casual,00:01:00,17
member,00:01:00,19
casual,00:01:01,23
member,00:01:01,7
casual,00:01:02,13
member,00:01:02,15
casual,00:01:03,14
member,00:01:03,14
casual,00:01:04,18
member,00:01:04,11
casual,00:01:05,20
member,00:01:05,14
casual,00:01:06,14
member,00:01:06,6
casual,00:01:07,18
member,00:01:07,12
casual,00:01:08,16
member,00:01:08,14
casual,00:01:09,22
member,00:01:09,13
casual,00:01:10,14
member,00:01:10,7
casual,00:01:11,13
member,00:01:11,6
casual,00:01:12,13
member,00:01:12,8
casual,00:01:13,22
member,00:01:13,9
casual,00:01:14,21
member,00:01:14,8
casual,00:01:15,18
member,00:01:15,11
casual,00:01:16,18
member,00:01:16,15
casual,00:01:17,15
member,00:01:17,15
casual,00:01:18,13
member,00:01:18,9
casual,00:01:19,10
member,00:01:19,10
casual,00:01:20,19
member,00:01:20,13
casual,00:01:21,19
member,00:01:21,10
casual,00:01:22,20
member,00:01:22,13
casual,00:01:23,23
member,00:01:23,13
casual,00:01:24,13
member,00:01:24,9
casual,00:01:25,17
member,00:01:25,13
casual,00:01:26,16
member,00:01:26,7
casual,00:01:27,19
member,00:01:27,7
casual,00:01:28,20
member,00:01:28,8
casual,00:01:29,13
member,00:01:29,9
casual,00:01:30,19
member,00:01:30,10
casual,00:01:31,15
member,00:01:31,9
casual,00:01:32,16
member,00:01:32,13
casual,00:01:33,19
member,00:01:33,15
casual,00:01:34,14
member,00:01:34,13
casual,00:01:35,15
member,00:01:35,9
casual,00:01:36,26
member,00:01:36,12
casual,00:01:37,13
member,00:01:37,7
casual,00:01:38,16
member,00:01:38,8
casual,00:01:39,9
member,00:01:39,11
casual,00:01:40,22
member,00:01:40,10
casual,00:01:41,17
member,00:01:41,9
casual,00:01:42,16
member,00:01:42,9
casual,00:01:43,19
member,00:01:43,14
casual,00:01:44,16
member,00:01:44,11
casual,00:01:45,18
member,00:01:45,9
casual,00:01:46,17
member,00:01:46,9
casual,00:01:47,18
member,00:01:47,9
casual,00:01:48,13
member,00:01:48,10
casual,00:01:49,21
member,00:01:49,13
casual,00:01:50,14
member,00:01:50,12
casual,00:01:51,19
member,00:01:51,13
casual,00:01:52,10
member,00:01:52,9
casual,00:01:53,16
member,00:01:53,15
casual,00:01:54,14
member,00:01:54,9
casual,00:01:55,11
member,00:01:55,15
casual,00:01:56,22
member,00:01:56,11
casual,00:01:57,20
member,00:01:57,7
casual,00:01:58,14
member,00:01:58,8
casual,00:01:59,20
member,00:01:59,10
casual,00:02:00,12
member,00:02:00,16
casual,00:02:01,13
member,00:02:01,17
casual,00:02:02,19
member,00:02:02,6
casual,00:02:03,12
member,00:02:03,9
casual,00:02:04,21
member,00:02:04,11
casual,00:02:05,11
member,00:02:05,4
casual,00:02:06,27
member,00:02:06,13
casual,00:02:07,26
member,00:02:07,12
casual,00:02:08,13
member,00:02:08,8
casual,00:02:09,11
member,00:02:09,14
casual,00:02:10,18
member,00:02:10,7
casual,00:02:11,20
member,00:02:11,16
casual,00:02:12,17
member,00:02:12,11
casual,00:02:13,14
member,00:02:13,10
casual,00:02:14,17
member,00:02:14,7
casual,00:02:15,11
member,00:02:15,11
casual,00:02:16,13
member,00:02:16,18
casual,00:02:17,21
member,00:02:17,11
casual,00:02:18,20
member,00:02:18,14
casual,00:02:19,17
member,00:02:19,15
casual,00:02:20,15
member,00:02:20,8
casual,00:02:21,21
member,00:02:21,8
casual,00:02:22,13
member,00:02:22,11
casual,00:02:23,7
member,00:02:23,6
casual,00:02:24,12
member,00:02:24,11
casual,00:02:25,13
member,00:02:25,9
casual,00:02:26,13
member,00:02:26,7
casual,00:02:27,14
member,00:02:27,10
casual,00:02:28,19
member,00:02:28,14
casual,00:02:29,18
member,00:02:29,13
casual,00:02:30,16
member,00:02:30,9
casual,00:02:31,13
member,00:02:31,11
casual,00:02:32,24
member,00:02:32,8
casual,00:02:33,14
member,00:02:33,16
casual,00:02:34,13
member,00:02:34,10
casual,00:02:35,20
member,00:02:35,20
casual,00:02:36,21
member,00:02:36,7
casual,00:02:37,12
member,00:02:37,11
casual,00:02:38,15
member,00:02:38,10
